epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
115,327.968,0.25705,0.36604,0.39523,0.81346,0.21676,0.42119,0.2037,0.18892,0.21676,0.42119,0.20137,0.17722,0.25604,0.71915,3.1424,0.78274,0.000624684,0.000624684,0.000624684
116,330.837,0.26547,0.36555,0.38601,0.82826,0.17759,0.79375,0.20399,0.19379,0.17759,0.79375,0.20259,0.18236,0.26133,0.5448,4.00847,0.78143,0.000620294,0.000620294,0.000620294
117,333.7,0.25079,0.31072,0.39143,0.81928,0.1982,0.58958,0.21508,0.20347,0.1982,0.58958,0.2134,0.19246,0.25013,0.4961,4.71971,0.77855,0.000615887,0.000615887,0.000615887
118,336.525,0.25483,0.35146,0.38192,0.81703,0.17807,0.79788,0.20865,0.19796,0.17807,0.79788,0.2079,0.18826,0.24091,0.51098,5.30788,0.77523,0.000611462,0.000611462,0.000611462
119,339.349,0.25161,0.34093,0.41587,0.81242,0.19469,0.71875,0.21164,0.20332,0.19469,0.71875,0.21164,0.19295,0.24767,0.52139,4.89023,0.77295,0.00060702,0.00060702,0.00060702
120,342.155,0.26632,0.36937,0.41374,0.80148,0.18575,0.74142,0.21424,0.20414,0.18575,0.74142,0.21424,0.19252,0.24696,0.51476,4.6001,0.77506,0.000602562,0.000602562,0.000602562
121,345.025,0.25188,0.32655,0.39904,0.80439,0.19065,0.68333,0.22634,0.2142,0.19065,0.68333,0.22634,0.20557,0.25688,0.52128,4.80192,0.77535,0.000598089,0.000598089,0.000598089
122,348.123,0.26801,0.32713,0.41971,0.81539,0.20031,0.68087,0.22273,0.21594,0.20031,0.68087,0.22273,0.20412,0.239,0.5254,4.97132,0.77472,0.0005936,0.0005936,0.0005936
123,351.122,0.25802,0.30908,0.37595,0.80941,0.19787,0.65999,0.22666,0.21962,0.19787,0.65999,0.22666,0.20643,0.23305,0.51579,4.37186,0.77708,0.000589096,0.000589096,0.000589096
124,354.186,0.26494,0.35008,0.37736,0.80952,0.22174,0.59375,0.24772,0.23954,0.22174,0.59375,0.24772,0.22856,0.25972,0.58983,3.54459,0.77842,0.000584578,0.000584578,0.000584578
125,357.276,0.24992,0.32026,0.38293,0.8057,0.21862,0.45833,0.24548,0.23807,0.21862,0.45833,0.24548,0.22558,0.23964,0.51899,3.9941,0.77707,0.000580047,0.000580047,0.000580047
126,360.535,0.27227,0.35424,0.40485,0.81309,0.18103,0.89483,0.21935,0.21033,0.18103,0.89483,0.21935,0.20234,0.24125,0.52334,5.23201,0.77422,0.000575502,0.000575502,0.000575502
